attending_count,id,interested_count,maybe_count,noreply_count,start_time,contacts
118,471231376401377,134,134,842,2016-04-02T15:00:00+0200,1228
114,476330152560085,305,305,955,2016-04-02T14:00:00+0200,1679
3,211740595880152,7,7,3,2016-04-01T10:00:00-0600,20
57,1105998269421040,362,362,37,2016-04-01T10:00:00+0200,818
37,860565900720265,45,45,340,2016-03-31T18:00:00+0000,467
4,1066455633422013,13,13,256,2016-03-24T09:30:00+0100,286
159,1746036772297536,300,300,605,2016-03-23T19:00:00+0100,1364
16,205150523182830,31,31,131,2016-03-21T18:30:00+0100,209
70,586279331527235,146,146,710,2016-03-20T13:00:00+0100,1072
166,818617624931365,347,347,745,2016-03-16T19:00:00+0100,1605
16,1020125414723473,59,59,6,2016-03-16T12:00:00+0100,140
50,1188444181184951,207,207,98,2016-03-15T19:00:00+0100,562
20,459062300971198,56,56,126,2016-03-10T19:00:00+0100,258
41,979248608823573,52,52,357,2016-03-10T19:00:00+0800,502
30,1701241290160519,153,153,62,2016-03-09T19:30:00+0100,398
194,957402651017680,409,409,1129,2016-03-09T19:00:00+0100,2141
86,1678189119105907,178,178,932,2016-02-27T09:00:00+0100,1374
47,1012049288848827,66,66,507,2016-02-18T19:00:00+0100,686
8,230816713920735,16,16,46,2016-02-09T18:30:00+0100,86
24,158646997841559,115,115,181,2016-02-04T19:00:00+0100,435
58,1046709562061113,134,134,180,2016-02-04T17:30:00+0000,506
27,1662092214043789,88,88,261,2016-02-03T19:00:00+0100,464
9,641154866022580,42,42,16,2016-02-03T15:00:00+0100,109
196,511182415716767,329,329,394,2016-02-01T19:30:00+0100,1248
32,1732584693653476,62,62,20,2016-01-29T19:00:00+0100,176
60,203447570002142,214,214,267,2016-01-28T19:00:00+0100,755
20,1516201948680685,73,73,189,2016-01-28T18:30:00+0100,355
15,1514781992151535,47,47,102,2016-01-27T18:00:00+0100,211
3,1262357827124735,6,6,1,2016-01-27T09:00:00+0100,16
14,1670487706570263,106,106,101,2016-01-21T13:30:00+0100,327
27,158971291136384,30,30,154,2016-01-20T19:00:00+0100,241
10,1216150991731583,30,30,244,2016-01-20T12:00:00+0100,314
151,1701810130065134,431,431,139,2016-01-19T19:30:00+0100,1152
189,202870490051725,581,581,170,2016-01-14T19:30:00+0100,1521
14,1512020532431567,29,29,116,2016-01-13T17:00:00+0100,188
315,761682910642749,1095,1095,95,2016-01-06T12:00:00+0100,2600
79,1672210963052608,230,230,89,2015-12-17T19:30:00+0100,628
29,138012296562484,75,75,120,2015-12-16T19:00:00+0100,299
18,444657895741945,44,44,27,2015-12-15T19:00:00+0100,133
51,1177780025585076,123,123,612,2015-12-15T18:30:00+0100,909
54,204943043172888,207,207,163,2015-12-14T19:30:00+0100,631
52,754600484645825,29,29,160,2015-12-05T20:30:00-0600,270
166,1685887668298925,152,152,791,2015-12-05T00:00:00+0100,1261
333,1714657078767329,418,418,1354,2015-12-04T17:00:00-0600,2523
